cause,cause_remapped,fcm_cause_remapped,effect,fcm_effect_remapped,effect_type,confidence,top_keyword_score,keywords,similarity_score,weight,full_answer,direction,net_effect
strong economy,net-zero targets,net-zero targets,industrial decarbonisation,industrial decarbonisation,increase,0.34917808,0.9594,"[('economy', 0.7948), ('strong', 0.4729), ('strong economy', 0.9594), ('economy', 0.7948), ('strong', 0.4729), ('strong economy', 0.9594), ('economy', 0.7948), ('strong', 0.4729)]",0.7670448422431946,1,"decarbonisation and competitiveness must go hand in hand rapidly cutting emissions is the only path to long term and sustained competitiveness, while a strong economy is essential to drive the investments and innovation needed for deep decarbonization, together creating a prosperous and net zero europe.",1,0.3491780757904053
upholding polluter pays,phase-out of free allowances,phase-out of free allowances,industrial decarbonisation,industrial decarbonisation,effect,0.22981139,0.652,"[('polluter', 0.4121), ('permits', 0.3678), ('cbam', 0.3477), ('2030', 0.312), ('principle', 0.2202), ('polluter pays', 0.5751), ('cbam sectors', 0.4377), ('permits', 0.3678), ('totally 2032', 0.3101), ('principle', 0.2202), ('upholding polluter pays', 0.652), ('cbam sectors 2030', 0.5002), ('half free permits', 0.4965), ('principle phasing', 0.2624), ('finally', 0.1389)]",0.7600946426391602,0.5,"for the cbam to act as a real alternative to carbon leakage protection measures, and push eu industry to decarbonise, co legislators will have to agree on finally upholding the ' polluter pays principle ' by phasing out half of free permits to pollute for cbam sectors by 2030, and totally by 2032.",0,0
upholding polluter pays,phase-out of free allowances,phase-out of free allowances,industrial decarbonisation,industrial decarbonisation,increase,0.59972936,0.896,"[('polluter', 0.613), ('pays', 0.3497), ('upholding', 0.3389), ('principle', 0.3115), ('finally', 0.2189), ('polluter pays', 0.8023), ('upholding polluter', 0.7736), ('pays principle', 0.5626), ('finally upholding', 0.4037), ('principle', 0.3115), ('upholding polluter pays', 0.896), ('pays', 0.3497), ('upholding', 0.3389), ('principle', 0.3115), ('finally', 0.2189)]",0.7764610052108765,1,"for the cbam to act as a real alternative to carbon leakage protection measures, and push eu industry to decarbonise, co legislators will have to agree on finally upholding the ' polluter pays principle ' by phasing out half of free permits to pollute for cbam sectors by 2030, and totally by 2032.",1,0.5997293591499329
renewable based electrification,renewable based electrification,renewable based electrification,industrial decarbonisation,industrial decarbonisation,increase,0.31955695,1,"[('electrification', 0.7464), ('renewable', 0.6646), ('based', 0.1002), ('based electrification', 0.794), ('electrification', 0.7464), ('renewable based', 0.7108), ('renewable', 0.6646), ('based', 0.1002), ('renewable based electrification', 1.0), ('based electrification', 0.794), ('electrification', 0.7464), ('renewable', 0.6646), ('based', 0.1002)]",0.746159017,1,"duttatreya das, an independent consultant and the report ' s lead author said : "" besides being one of the most promising levers for decarbonising industries, renewable based electrification offers multiple co benefits.",1,0.31955695152282715
carbon leakage,carbon leakage,carbon leakage,industrial decarbonization,industrial decarbonization,decrease,0.12553442,0.9675,"[('carbon', 0.613), ('leakage', 0.5971), ('carbon leakage', 0.9675), ('carbon', 0.613), ('leakage', 0.5971), ('carbon leakage', 0.9675), ('carbon', 0.613), ('leakage', 0.5971)]",0.7581494450569153,-1,a carbon border adjustment mechanism important to achieve a level playing field and decrease the risk of carbon leakage.,-1,0.12553441524505615
carbon emissions,carbon-intensive product competitiveness,carbon-intensive product competitiveness,industrial decarbonization,industrial decarbonization,decrease,0.24508843,0.9485,"[('emissions', 0.8175), ('carbon', 0.6367), ('carbon emissions', 0.9485), ('emissions', 0.8175), ('carbon', 0.6367), ('carbon emissions', 0.9485), ('emissions', 0.8175), ('carbon', 0.6367)]",0.7632364630699158,-1,"if carbon intensive downstream products are more competitive than sustainable alternatives, the total balance of carbon emissions may be aggravated.",-1,0.24508842825889587
declining demand,decline in demand for European steel,decline in demand for European steel,industrial decarbonization,industrial decarbonization,decrease,0.27836394,1,"[('demand', 0.7866), ('declining', 0.6659), ('declining demand', 1.0), ('demand', 0.7866), ('declining', 0.6659), ('declining demand', 1.0), ('demand', 0.7866), ('declining', 0.6659)]",0.7619508504867554,-1,"tata steel nederland calls for clear european conditions for a sustainable future of europe ' s industry by dagmar dieterle the steel industry is facing a perfect storm : decarbonisation, competitive pressure, imports from outside eu and declining demand are presenting companies with immense challenges.",-1,0.2783639430999756
halted investments green,halted green investments,halted green investments,industrial decarbonization,industrial decarbonization,effect,0.99928015,0.7591,"[('investments', 0.4035), ('steel', 0.3079), ('halted', 0.298), ('projects', 0.2854), ('green', 0.2329), ('investments green', 0.6165), ('companies halted', 0.562), ('steel projects', 0.5123), ('green steel', 0.5106), ('companies', 0.3686), ('halted investments green', 0.7591), ('investments green steel', 0.7466), ('steel projects', 0.5123), ('companies', 0.3686), ('green', 0.2329)]",0.7920018434524536,0.5,"this undermines decarbonization, as several companies have halted investments in green steel projects.",0,0
cbam lacks necessary,inclusion of downstream products under CBAM,inclusion of downstream products under CBAM,industrial decarbonization,industrial decarbonization,decrease,0.6838786,0.6079,"[('cbam', 0.4758), ('emissions', 0.4011), ('leakage', 0.2189), ('europe', 0.1374), ('potentially', 0.0301), ('cbam lacks', 0.5446), ('carbon leakage', 0.4939), ('downstream products', 0.3829), ('effectively prevent', 0.1702), ('europe', 0.1374), ('cbam lacks necessary', 0.6079), ('carbon leakage downstream', 0.5653), ('provisions effectively prevent', 0.3047), ('investments outside europe', 0.2943), ('stimulating transfer', 0.0557)]",0.7665421962738037,-1,"as it stands, cbam lacks the necessary provisions to effectively prevent carbon leakage in downstream products, potentially stimulating a transfer of carbon emissions, production and investments outside of europe.",-1,0.6838786005973816
cbam lacks necessary,inclusion of downstream products under CBAM,inclusion of downstream products under CBAM,industrial decarbonization,industrial decarbonization,effect,0.92390263,0.6079,"[('cbam', 0.4758), ('emissions', 0.4011), ('leakage', 0.2189), ('europe', 0.1374), ('potentially', 0.0301), ('cbam lacks', 0.5446), ('carbon leakage', 0.4939), ('downstream products', 0.3829), ('effectively prevent', 0.1702), ('europe', 0.1374), ('cbam lacks necessary', 0.6079), ('carbon leakage downstream', 0.5653), ('provisions effectively prevent', 0.3047), ('investments outside europe', 0.2943), ('stimulating transfer', 0.0557)]",0.7385290265083313,0.5,"as it stands, cbam lacks the necessary provisions to effectively prevent carbon leakage in downstream products, potentially stimulating a transfer of carbon emissions, production and investments outside of europe.",0,0
crease industrial activity,industrial slowdown,industrial slowdown,industrial decarbonization,industrial decarbonization,decrease,0.59271437,0.951,"[('crease', 0.6696), ('industrial', 0.5363), ('activity', 0.2813), ('crease industrial', 0.9096), ('crease', 0.6696), ('industrial activity', 0.6204), ('industrial', 0.5363), ('activity', 0.2813), ('crease industrial activity', 0.951), ('crease industrial', 0.9096), ('crease', 0.6696), ('industrial', 0.5363), ('activity', 0.2813)]",0.7732755541801453,-1,"however, the level of emissions from eu ets covered installations were affected by different factors, with the decrease in industrial emissions (7 %) due to a crease in industrial activity highlighted.",-1,0.5927143692970276
cbam introduced eu,introduction of the EU CBAM,EU CBAM,industrial decarbonization,industrial decarbonization,increase,0.3924645,0.6201,"[('cbams', 0.4774), ('emissions', 0.3805), ('nations', 0.1733), ('adjustment', 0.1135), ('saying', -0.0109), ('eu cbam', 0.5843), ('cut emissions', 0.412), ('decarbonise economies', 0.2732), ('adjustment mechanism', 0.1613), ('typically', -0.0497), ('cbam introduced eu', 0.6201), ('border adjustment mechanism', 0.3431), ('cut emissions reactions', 0.3178), ('policies leave', 0.167), ('worse financially', 0.0769)]",0.7897624969482422,1,"many developing countries have branded cbams as "" unfair "" policies that will leave them worse off financially, saying they will make it harder for them to decarbonise their economies. analysis also suggests that the eu ' s cbam, in isolation, will have a limited impact on global emissions. in this q & a, carbon brief explains how the cbam works and the impact on climate policies it is already having in the eu and around the world, as nations such as the uk and the us consider implementing cbams and related policies of their own. what is a carbon border adjustment mechanism ? why was the cbam introduced in the eu ? how will the eu ' s cbam work ? how is the mechanism expected to cut emissions ? what are the reactions from developing countries ? are other countries introducing their own mechanisms ? what is a carbon border adjustment mechanism ? a carbon border adjustment mechanism (cbam) is a tax applied to certain imported goods, based on the amount of carbon dioxide (co2) emissions released during their production. it targets industries that are typically emissions intensive and relatively easy to trade internationally, such as steel, aluminium and cement.",1,0.3924644887447357
renewable based electrification,renewable based electrification,renewable based electrification,industrial decarbonization,industrial decarbonization,increase,0.47474965,1,"[('electrification', 0.7464), ('renewable', 0.6646), ('based', 0.1002), ('based electrification', 0.794), ('electrification', 0.7464), ('renewable based', 0.7108), ('renewable', 0.6646), ('based', 0.1002), ('renewable based electrification', 1.0), ('based electrification', 0.794), ('electrification', 0.7464), ('renewable', 0.6646), ('based', 0.1002)]",0.7451915740966797,1,"duttatreya das, an independent consultant and the report ' s lead author said : "" besides being one of the most promising levers for decarbonising industries, renewable based electrification offers multiple co benefits.",1,0.4747496545314789
